T	Y
1.0	5.959842901719255e-5
2.0	7.087827225570748e-5
3.0	7.161226564969189e-5
4.0	8.435900794891843e-5
5.0	8.498357493049238e-5
6.0	9.518044617720135e-5
7.0	0.00010865511017096353
8.0	0.00011955011459697032
9.0	0.00011901124738573389
10.0	0.0001278371232798694
11.0	0.00011092913273645297
12.0	0.00011542418869215157
13.0	0.00011502191478526304
14.0	0.00011440428204403767
15.0	0.00011857765514624967
16.0	0.00012445868650797116
17.0	0.00011864443566494791
18.0	0.00012521866900267256
19.0	0.0001230391564098765
20.0	0.00012012023792336464
21.0	0.00011605280347229928
22.0	0.00011807216016653486
23.0	0.00010686146099587318
24.0	0.00010941347890899324
25.0	0.00010624572265491468
26.0	0.000108036262769921
27.0	0.00011333846794557914
28.0	0.00010924911848382048
29.0	0.00010840975868305416
30.0	0.00010835925385998049
31.0	9.797886251041409e-5
32.0	9.496929798361899e-5
33.0	0.00010146791998916216
34.0	0.000103510815563276
35.0	0.00010524630595506318
36.0	9.208038205068755e-5
37.0	9.106002494135498e-5
38.0	9.822412609493923e-5
39.0	0.00010108153210146298
40.0	9.333892783981029e-5
41.0	9.087717492520068e-5
42.0	9.571648743511574e-5
43.0	0.0001006463519927954
44.0	8.72644418010212e-5
45.0	0.00010187934181038819
46.0	9.77327840073882e-5
47.0	0.00010397577104950123
48.0	0.00011019159335455206
49.0	0.00010868156463640644
50.0	0.00011535935361226511
51.0	0.00010646149846278881
52.0	0.0001081640894163606
53.0	0.0001062117385710274
54.0	0.00010238996936756846
55.0	9.22369210346382e-5
56.0	8.5901061467622e-5
57.0	7.745315162767212e-5
58.0	8.314312335777271e-5
59.0	7.723265330663275e-5
60.0	7.189037296919179e-5
61.0	6.864342897424866e-5
62.0	5.976315457056208e-5
63.0	4.771185027532647e-5
64.0	4.145398675133721e-5
65.0	5.024383616086987e-5
66.0	4.480219646050762e-5
67.0	3.479867336566786e-5
68.0	3.226116415137002e-5
69.0	2.688440709996444e-5
70.0	2.9197619583271744e-5
71.0	1.9147220350231725e-5
72.0	1.1689688617741445e-5
73.0	1.1675902045975295e-5
74.0	1.2510862396987454e-5
75.0	3.84384723991181e-6
76.0	-1.2005252229703098e-5
77.0	-1.909495699795212e-5
78.0	-2.8939085318407248e-5
79.0	-4.03336554467542e-5
80.0	-5.835598999113026e-5
81.0	-7.015044984593453e-5
82.0	-9.099985770659111e-5
83.0	-0.0001200104564260604
84.0	-0.00012872517870356377
85.0	-0.00015669309870856504
86.0	-0.0001845071520099311
87.0	-0.00019422425279430958
88.0	-0.00022223659644972533
89.0	-0.00023463213087419367
90.0	-0.00025256255305227196
91.0	-0.00027481225119978595
92.0	-0.0003026032395809109
93.0	-0.0003285311146813581
94.0	-0.00035572391059973847
95.0	-0.00040339032604173874
96.0	-0.00046893708662361887
97.0	-0.0005001275265346782
98.0	-0.0005526167899246748
99.0	-0.0007052520674388166
100.0	-0.000923072936365954
