T	Y
1.0	0.19664250345924697
2.0	0.1579742292927298
3.0	0.126909781362515
4.0	0.10195392424189446
5.0	0.0819054493414498
6.0	0.06579935673597258
7.0	0.05286040650138704
8.0	0.042465803833068194
9.0	0.03411522185591415
10.0	0.027406719224091203
11.0	0.022017393344254597
12.0	0.017687837997387924
13.0	0.01420965725279572
14.0	0.011415434677304711
15.0	0.009170675024281212
16.0	0.007367330529093031
17.0	0.005918600210038464
18.0	0.004754751847760693
19.0	0.003819765541088535
20.0	0.003068637282460393
21.0	0.0024652127650281125
22.0	0.0019804471553527955
23.0	0.0015910070687548336
24.0	0.001278147455733252
25.0	0.0010268093402473692
26.0	0.0008248949810056036
27.0	0.0006626855668493426
28.0	0.0005323734179776645
29.0	0.0004276861762912337
30.0	0.0003435848958903703
31.0	0.0002760215018116265
32.0	0.00022174394268676797
33.0	0.00017813965867015624
34.0	0.00014310983022410066
35.0	0.00011496835493920925
36.0	9.23606898057528e-5
37.0	7.41986525412207e-5
38.0	5.9608043752884334e-5
39.0	4.788656880349768e-5
40.0	3.847003403275644e-5
41.0	3.090519023354267e-5
42.0	2.482791625759214e-5
43.0	1.994569265099686e-5
44.0	1.602352170476947e-5
45.0	1.287261628318108e-5
46.0	1.0341312791978902e-5
47.0	8.307771156565439e-6
48.0	6.674110238421658e-6
49.0	5.361696493393912e-6
50.0	4.307359072717621e-6
51.0	3.4603492021977586e-6
52.0	2.779897472970339e-6
53.0	2.23325147533492e-6
54.0	1.7940993153737057e-6
55.0	1.4413031354315484e-6
56.0	1.1578816799397033e-6
57.0	9.301929294815546e-7
58.0	7.472774658111683e-7
59.0	6.003309563554089e-7
60.0	4.822803782152666e-7
61.0	3.8744356246675643e-7
62.0	3.112556950457388e-7
63.0	2.5004960317238373e-7
64.0	2.0087923144461924e-7
65.0	1.6137784546621921e-7
66.0	1.2964411562371135e-7
67.0	1.0415058602408296e-7
68.0	8.367017566623071e-8
69.0	6.721708600343451e-8
70.0	5.39993811594972e-8
71.0	4.3380843806452415e-8
72.0	3.4850373187737594e-8
73.0	2.7997367620284706e-8
74.0	2.249196771149791e-8
75.0	1.8069183598786295e-8
76.0	1.4516125119867892e-8
77.0	1.1661780046074468e-8
78.0	9.368754283193459e-9
79.0	7.526674529831207e-9
80.0	6.04688234940538e-9
81.0	4.858146976558938e-9
82.0	3.903245884474566e-9
83.0	3.13622686040841e-9
84.0	2.5201625465455615e-9
85.0	2.025400382269855e-9
86.0	1.6281277112677285e-9
87.0	1.3092193338891663e-9
88.0	1.0533332486260327e-9
89.0	8.481434986650698e-10
90.0	6.837848832059175e-10
91.0	5.523293313806316e-10
92.0	4.474610565380543e-10
93.0	3.6413809195765585e-10
94.0	2.983305279008466e-10
95.0	2.468839108349368e-10
96.0	2.0732784055340313e-10
97.0	1.7773102701633924e-10
98.0	1.567081995008917e-10
99.0	1.432182870838676e-10
100.0	1.3681886921881578e-10
