x	y
1.4225e7	2.0e-11
1.4275e7	0.0
1.4325e7	0.0
1.4375e7	4.0e-11
1.4425e7	0.0
1.4475e7	0.0
1.4525e7	0.0
1.4575e7	0.0
1.4625e7	0.0
1.4675e7	0.0
1.4725e7	0.0
1.4775e7	0.0
1.4825e7	0.0
1.4875e7	0.0
1.4925e7	2.0e-11
1.4975e7	0.0
1.5025e7	0.0
1.5075e7	0.0
1.5125e7	0.0
1.5175e7	0.0
1.5225e7	4.0e-11
1.5275e7	2.0e-11
1.5325e7	4.0e-11
1.5375e7	4.0e-11
1.5425e7	2.0e-11
1.5475e7	8.0e-11
1.5525e7	4.0e-11
1.5575e7	2.0e-11
1.5625e7	2.0e-11
1.5675e7	4.0e-11
1.5725e7	2.0e-11
1.5775e7	6.0e-11
1.5825e7	1.2e-10
1.5875e7	8.0e-11
1.5925e7	8.0e-11
1.5975e7	4.0e-11
1.6025e7	4.0e-11
1.6075e7	2.0e-11
1.6125e7	1.2e-10
1.6175e7	4.0e-11
1.6225e7	1.2e-10
1.6275e7	1.6e-10
1.6325e7	1.0e-10
1.6375e7	8.0e-11
1.6425e7	8.0e-11
1.6475e7	8.0e-11
1.6525e7	1.2e-10
1.6575e7	4.0e-11
1.6625e7	1.4e-10
1.6675e7	1.6e-10
1.6725e7	2.0e-10
1.6775e7	1.8e-10
1.6825e7	2.4e-10
1.6875e7	3.8e-10
1.6925e7	2.6e-10
1.6975e7	3.4e-10
1.7025e7	2.2e-10
1.7075e7	2.6e-10
1.7125e7	3.4e-10
1.7175e7	5.4e-10
1.7225e7	4.8e-10
1.7275e7	4.6e-10
1.7325e7	5.8e-10
1.7375e7	6.4e-10
1.7425e7	7.2e-10
1.7475e7	5.6e-10
1.7525e7	6.6e-10
1.7575e7	7.6e-10
1.7625e7	6.6e-10
1.7675e7	7.6e-10
1.7725e7	4.2e-10
1.7775e7	8.6e-10
1.7825e7	9.2e-10
1.7875e7	1.06e-9
1.7925e7	1.08e-9
1.7975e7	1.12e-9
1.8025e7	1.44e-9
1.8075e7	1.14e-9
1.8125e7	1.64e-9
1.8175e7	1.38e-9
1.8225e7	1.7e-9
1.8275e7	1.42e-9
1.8325e7	1.6e-9
1.8375e7	2.08e-9
1.8425e7	2.08e-9
1.8475e7	2.36e-9
1.8525e7	2.46e-9
1.8575e7	1.98e-9
1.8625e7	2.36e-9
