T	Y
1.0	0.06701338504730343
2.0	0.06252260947406157
3.0	0.05833277606102187
4.0	0.054423717743424554
5.0	0.050776618920565474
6.0	0.047373924890110934
7.0	0.0441992573514607
8.0	0.041237335571529074
9.0	0.038473902833481614
10.0	0.03589565781440623
11.0	0.03349019056161087
12.0	0.031245922759385123
13.0	0.02915205199870807
14.0	0.02719849978165165
15.0	0.025375863010210883
16.0	0.023675368726059326
17.0	0.02208883188337584
18.0	0.02060861595149107
19.0	0.019227596157719233
20.0	0.017939125193453517
21.0	0.016737001218452056
22.0	0.015615438009315611
23.0	0.014569037108463823
24.0	0.013592761839561039
25.0	0.012681913064312683
26.0	0.01183210656394711
27.0	0.0110392519365093
28.0	0.010299532908392478
29.0	0.009609388965341652
30.0	0.008965498214510408
31.0	0.008364761395085286
32.0	0.007804286960508344
33.0	0.007281377160501348
34.0	0.006793515055893288
35.0	0.006338352403754665
36.0	0.005913698354519113
37.0	0.005517508906697012
38.0	0.005147877068412551
39.0	0.004803023678417112
40.0	0.004481288842393848
41.0	0.004181123943332077
42.0	0.0039010841875173536
43.0	0.003639821650258832
44.0	0.0033960787878660912
45.0	0.0031686823847167393
46.0	0.0029565379061124446
47.0	0.0027586242299632462
48.0	0.002573988731773803
49.0	0.0024017426993466753
50.0	0.0022410570551122696
51.0	0.0020911583655032605
52.0	0.0019513251181599227
53.0	0.0018208842490521793
54.0	0.0016992079027964978
55.0	0.0015857104105791965
56.0	0.001479845471138639
57.0	0.001381103521232201
58.0	0.0012890092829414984
59.0	0.0012031194759987668
60.0	0.0011230206841343804
61.0	0.0010483273651630317
62.0	0.0009786799952420685
63.0	0.0009137433383655023
64.0	0.000853204832757154
65.0	0.0007967730864100505
66.0	0.000744176474519759
67.0	0.0006951618320587507
68.0	0.0006494932352180425
69.0	0.0006069508658143532
70.0	0.0005673299532457213
71.0	0.0005304397888508005
72.0	0.0004961028079737622
73.0	0.00046415373527943876
74.0	0.00043443878922987757
75.0	0.000406814941888065
76.0	0.0003811492304640065
77.0	0.00035731811733725864
78.0	0.00033520689541582986
79.0	0.0003147091360151531
80.0	0.00029572617659025913
81.0	0.00027816664582996974
82.0	0.0002619460238558249
83.0	0.00024698623541195445
84.0	0.0002332152740469136
85.0	0.00022056685553435988
86.0	0.00020898009881910448
87.0	0.0001983992329772137
88.0	0.0001887733287793227
89.0	0.0001800560535384051
90.0	0.00017220544810418642
91.0	0.00016518372488485096
92.0	0.00015895708600049805
93.0	0.00015349556055923978
94.0	0.0001487728604103118
95.0	0.0001447662536257686
96.0	0.00014145645509097422
97.0	0.0001388275336077585
98.0	0.00013686683533160185
99.0	0.0001355649227609896
100.0	0.00013491552943595554
