x	y
-2.5225e7	1.0e-7
-2.5175e7	1.0e-7
-2.5125e7	1.0e-7
-2.5075e7	1.0e-7
-2.5025e7	1.0e-7
-2.4975e7	1.0e-7
-2.4925e7	1.0e-7
-2.4875e7	1.0e-7
-2.4825e7	1.0e-7
-2.4775e7	1.0e-7
-2.4725e7	1.0e-7
-2.4675e7	1.0e-7
-2.4625e7	1.0e-7
-2.4575e7	1.0e-7
-2.4525e7	1.0e-7
-2.4475e7	2.0e-7
-2.4425e7	2.0e-7
-2.4375e7	3.0e-7
-2.4325e7	3.0e-7
-2.4275e7	3.0e-7
-2.4225e7	3.0e-7
-2.4175e7	3.0e-7
-2.4125e7	5.0e-7
-2.4075e7	5.0e-7
-2.4025e7	5.0e-7
-2.3975e7	5.0e-7
-2.3925e7	5.0e-7
-2.3875e7	5.0e-7
-2.3825e7	5.0e-7
-2.3775e7	5.0e-7
-2.3725e7	5.0e-7
-2.3675e7	5.0e-7
-2.3625e7	5.0e-7
-2.3575e7	5.0e-7
-2.3525e7	5.0e-7
-2.3475e7	5.0e-7
-2.3425e7	5.0e-7
-2.3375e7	5.0e-7
-2.3325e7	6.0e-7
-2.3275e7	6.0e-7
-2.3225e7	6.0e-7
-2.3175e7	6.0e-7
-2.3125e7	8.0e-7
-2.3075e7	8.0e-7
-2.3025e7	1.0e-6
-2.2975e7	1.1e-6
-2.2925e7	1.2e-6
-2.2875e7	1.5e-6
-2.2825e7	1.6e-6
-2.2775e7	1.9e-6
-2.2725e7	1.9e-6
-2.2675e7	2.1000000000000002e-6
-2.2625e7	2.5e-6
-2.2575e7	2.7000000000000004e-6
-2.2525e7	2.8000000000000003e-6
-2.2475e7	2.9e-6
-2.2425e7	3.0e-6
-2.2375e7	3.1e-6
-2.2325e7	3.1e-6
-2.2275e7	3.4e-6
-2.2225e7	3.5e-6
-2.2175e7	3.5e-6
-2.2125e7	3.7e-6
-2.2075e7	4.0e-6
-2.2025e7	4.1e-6
-2.1975e7	4.2e-6
-2.1925e7	4.2e-6
-2.1875e7	4.499999999999999e-6
-2.1825e7	4.799999999999999e-6
-2.1775e7	5.099999999999999e-6
-2.1725e7	5.1999999999999985e-6
-2.1675e7	5.699999999999999e-6
-2.1625e7	6.199999999999999e-6
-2.1575e7	6.399999999999999e-6
-2.1525e7	6.899999999999999e-6
-2.1475e7	7.099999999999999e-6
-2.1425e7	7.199999999999999e-6
-2.1375e7	7.599999999999998e-6
-2.1325e7	7.999999999999998e-6
-2.1275e7	8.399999999999998e-6
-2.1225e7	8.999999999999997e-6
-2.1175e7	9.299999999999997e-6
-2.1125e7	1.0099999999999998e-5
-2.1075e7	1.0299999999999998e-5
-2.1025e7	1.0599999999999998e-5
-2.0975e7	1.14e-5
-2.0925e7	1.2299999999999999e-5
-2.0875e7	1.3199999999999999e-5
-2.0825e7	1.3799999999999998e-5
-2.0775e7	1.3999999999999998e-5
-2.0725e7	1.4299999999999999e-5
-2.0675e7	1.4899999999999998e-5
-2.0625e7	1.5599999999999996e-5
-2.0575e7	1.6099999999999995e-5
-2.0525e7	1.7699999999999997e-5
-2.0475e7	1.8499999999999996e-5
-2.0425e7	1.9499999999999996e-5
-2.0375e7	1.9999999999999995e-5
-2.0325e7	2.0599999999999996e-5
-2.0275e7	2.0999999999999995e-5
-2.0225e7	2.1699999999999996e-5
-2.0175e7	2.2799999999999995e-5
-2.0125e7	2.3799999999999996e-5
-2.0075e7	2.4399999999999997e-5
-2.0025e7	2.5099999999999997e-5
-1.9975e7	2.5799999999999997e-5
-1.9925e7	2.6999999999999996e-5
-1.9875e7	2.7999999999999996e-5
-1.9825e7	2.9599999999999994e-5
-1.9775e7	3.0799999999999996e-5
-1.9725e7	3.23e-5
-1.9675e7	3.43e-5
-1.9625e7	3.59e-5
-1.9575e7	3.75e-5
-1.9525e7	3.8299999999999996e-5
-1.9475e7	3.89e-5
-1.9425e7	4.0199999999999995e-5
-1.9375e7	4.1299999999999994e-5
-1.9325e7	4.31e-5
-1.9275e7	4.49e-5
-1.9225e7	4.69e-5
-1.9175e7	4.82e-5
-1.9125e7	5.1e-5
-1.9075e7	5.29e-5
-1.9025e7	5.4999999999999995e-5
-1.8975e7	5.73e-5
-1.8925e7	5.88e-5
-1.8875e7	6.2e-5
-1.8825e7	6.42e-5
-1.8775e7	6.77e-5
-1.8725e7	6.960000000000001e-5
-1.8675e7	7.250000000000001e-5
-1.8625e7	7.610000000000002e-5
-1.8575e7	7.890000000000002e-5
-1.8525e7	8.190000000000003e-5
-1.8475e7	8.590000000000003e-5
-1.8425e7	9.000000000000003e-5
-1.8375e7	9.340000000000003e-5
-1.8325e7	9.790000000000004e-5
-1.8275e7	0.00010180000000000003
-1.8225e7	0.00010570000000000003
-1.8175e7	0.00010950000000000003
-1.8125e7	0.00011480000000000003
-1.8075e7	0.00011950000000000003
-1.8025e7	0.00012480000000000002
-1.7975e7	0.00012970000000000004
-1.7925e7	0.00013470000000000005
-1.7875e7	0.00013960000000000006
-1.7825e7	0.00014520000000000006
-1.7775e7	0.00015160000000000005
-1.7725e7	0.00015730000000000006
-1.7675e7	0.00016330000000000007
-1.7625e7	0.00016840000000000005
