x	y
-2.635e7	1.0e-12
-2.625e7	0.0
-2.615e7	0.0
-2.605e7	0.0
-2.595e7	0.0
-2.585e7	0.0
-2.575e7	0.0
-2.565e7	0.0
-2.555e7	0.0
-2.545e7	0.0
-2.535e7	0.0
-2.525e7	0.0
-2.515e7	0.0
-2.505e7	0.0
-2.495e7	1.0e-12
-2.485e7	0.0
-2.475e7	2.0e-12
-2.465e7	0.0
-2.455e7	0.0
-2.445e7	1.0e-12
-2.435e7	0.0
-2.425e7	1.0e-12
-2.415e7	0.0
-2.405e7	0.0
-2.395e7	1.0e-12
-2.385e7	1.0e-12
-2.375e7	1.0e-12
-2.365e7	1.0e-12
-2.355e7	2.0e-12
-2.345e7	2.0e-12
-2.335e7	3.0e-12
-2.325e7	2.0e-12
-2.315e7	3.0e-12
-2.305e7	2.0e-12
-2.295e7	2.0e-12
-2.285e7	7.0e-12
-2.275e7	1.0e-12
-2.265e7	1.0e-12
-2.255e7	3.0e-12
-2.245e7	1.0e-12
-2.235e7	6.0e-12
-2.225e7	3.0e-12
-2.215e7	6.0e-12
-2.205e7	6.0e-12
-2.195e7	2.0e-12
-2.185e7	5.0e-12
-2.175e7	2.0e-12
-2.165e7	9.0e-12
-2.155e7	5.0e-12
-2.145e7	4.0e-12
-2.135e7	4.0e-12
-2.125e7	8.0e-12
-2.115e7	1.4e-11
-2.105e7	1.0e-11
-2.095e7	8.0e-12
-2.085e7	1.4e-11
-2.075e7	1.2e-11
-2.065e7	1.5e-11
-2.055e7	1.3e-11
-2.045e7	1.4e-11
-2.035e7	1.5e-11
-2.025e7	1.7e-11
-2.015e7	9.0e-12
-2.005e7	2.8e-11
-1.995e7	2.2e-11
-1.985e7	2.4e-11
-1.975e7	3.0e-11
-1.965e7	3.0e-11
-1.955e7	3.3e-11
-1.945e7	3.9e-11
-1.935e7	2.1e-11
-1.925e7	3.9e-11
-1.915e7	4.6e-11
-1.905e7	5.1e-11
-1.895e7	5.4e-11
-1.885e7	5.3e-11
-1.875e7	6.3e-11
-1.865e7	7.3e-11
-1.855e7	5.1e-11
-1.845e7	9.0e-11
-1.835e7	9.8e-11
-1.825e7	8.2e-11
-1.815e7	9.3e-11
-1.805e7	9.2e-11
-1.795e7	1.04e-10
-1.785e7	1.16e-10
-1.775e7	1.4e-10
-1.765e7	1.49e-10
-1.755e7	1.32e-10
-1.745e7	1.42e-10
-1.735e7	1.52e-10
-1.725e7	1.66e-10
-1.715e7	1.84e-10
-1.705e7	2.09e-10
-1.695e7	2.27e-10
-1.685e7	2.33e-10
-1.675e7	2.92e-10
-1.665e7	2.62e-10
-1.655e7	2.93e-10
-1.645e7	3.3e-10
-1.635e7	3.66e-10
-1.625e7	3.69e-10
-1.615e7	3.97e-10
-1.605e7	3.71e-10
-1.595e7	4.33e-10
-1.585e7	4.73e-10
-1.575e7	5.13e-10
-1.565e7	5.33e-10
-1.555e7	5.0e-10
-1.545e7	6.24e-10
-1.535e7	6.34e-10
-1.525e7	6.27e-10
-1.515e7	7.61e-10
-1.505e7	7.8e-10
-1.495e7	7.78e-10
-1.485e7	8.75e-10
-1.475e7	9.21e-10
-1.465e7	9.15e-10
-1.455e7	1.04e-9
-1.445e7	1.061e-9
-1.435e7	1.132e-9
-1.425e7	1.169e-9
-1.415e7	1.26e-9
-1.405e7	1.386e-9
-1.395e7	1.449e-9
-1.385e7	1.514e-9
-1.375e7	1.56e-9
-1.365e7	1.723e-9
-1.355e7	1.821e-9
-1.345e7	1.923e-9
-1.335e7	1.979e-9
-1.325e7	2.195e-9
-1.315e7	2.162e-9
-1.305e7	2.297e-9
-1.295e7	2.462e-9
-1.285e7	2.652e-9
-1.275e7	2.876e-9
-1.265e7	2.877e-9
-1.255e7	3.078e-9
-1.245e7	3.327e-9
-1.235e7	3.368e-9
-1.225e7	3.469e-9
-1.215e7	3.702e-9
-1.205e7	3.837e-9
-1.195e7	4.148e-9
-1.185e7	4.266e-9
-1.175e7	4.549e-9
-1.165e7	4.803e-9
-1.155e7	5.182e-9
-1.145e7	5.107e-9
-1.135e7	5.43e-9
-1.125e7	5.843e-9
-1.115e7	6.028e-9
-1.105e7	6.219e-9
-1.095e7	6.629e-9
-1.085e7	6.763e-9
-1.075e7	7.236e-9
-1.065e7	7.417e-9
-1.055e7	7.922e-9
-1.045e7	8.204e-9
-1.035e7	8.531e-9
-1.025e7	8.866e-9
-1.015e7	9.182e-9
-1.005e7	9.75e-9
-9.95e6	9.973e-9
