x	y
-5.09e6	5.0e-10
-5.07e6	0.0
-5.05e6	0.0
-5.03e6	0.0
-5.01e6	0.0
-4.99e6	0.0
-4.97e6	0.0
-4.95e6	0.0
-4.93e6	5.0e-10
-4.91e6	0.0
-4.89e6	0.0
-4.87e6	0.0
-4.85e6	0.0
-4.83e6	0.0
-4.81e6	0.0
-4.79e6	0.0
-4.77e6	0.0
-4.75e6	0.0
-4.73e6	0.0
-4.71e6	0.0
-4.69e6	0.0
-4.67e6	0.0
-4.65e6	0.0
-4.63e6	5.0e-10
-4.61e6	0.0
-4.59e6	0.0
-4.57e6	0.0
-4.55e6	0.0
-4.53e6	0.0
-4.51e6	0.0
-4.49e6	0.0
-4.47e6	0.0
-4.45e6	0.0
-4.43e6	0.0
-4.41e6	0.0
-4.39e6	0.0
-4.37e6	0.0
-4.35e6	0.0
-4.33e6	0.0
-4.31e6	0.0
-4.29e6	0.0
-4.27e6	0.0
-4.25e6	0.0
-4.23e6	5.0e-10
-4.21e6	0.0
-4.19e6	0.0
-4.17e6	5.0e-10
-4.15e6	5.0e-10
-4.13e6	0.0
-4.11e6	0.0
-4.09e6	0.0
-4.07e6	0.0
-4.05e6	0.0
-4.03e6	0.0
-4.01e6	1.0e-9
-3.99e6	0.0
-3.97e6	0.0
-3.95e6	5.0e-10
-3.93e6	0.0
-3.91e6	1.0e-9
-3.89e6	0.0
-3.87e6	1.5e-9
-3.85e6	0.0
-3.83e6	0.0
-3.81e6	0.0
-3.79e6	5.0e-10
-3.77e6	0.0
-3.75e6	5.0e-10
-3.73e6	5.0e-10
-3.71e6	0.0
-3.69e6	0.0
-3.67e6	0.0
-3.65e6	5.0e-10
-3.63e6	5.0e-10
-3.61e6	5.0e-10
-3.59e6	0.0
-3.57e6	0.0
-3.55e6	5.0e-10
-3.53e6	5.0e-10
-3.51e6	2.5e-9
-3.49e6	5.0e-10
-3.47e6	5.0e-10
-3.45e6	1.5e-9
-3.43e6	2.5e-9
-3.41e6	1.0e-9
-3.39e6	1.5e-9
-3.37e6	5.0e-10
-3.35e6	1.0e-9
-3.33e6	2.5e-9
-3.31e6	3.5e-9
-3.29e6	3.5e-9
-3.27e6	1.0e-9
-3.25e6	3.0e-9
-3.23e6	2.5e-9
-3.21e6	1.5e-9
-3.19e6	5.0e-9
-3.17e6	2.5e-9
-3.15e6	2.0e-9
-3.13e6	2.0e-9
-3.11e6	4.5e-9
-3.09e6	1.0e-9
-3.07e6	3.0e-9
-3.05e6	2.5e-9
-3.03e6	5.0e-9
-3.01e6	3.5e-9
-2.99e6	4.5e-9
-2.97e6	5.0e-9
-2.95e6	3.0e-9
-2.93e6	4.0e-9
-2.91e6	6.0e-9
-2.89e6	4.5e-9
-2.87e6	5.0e-9
-2.85e6	8.5e-9
-2.83e6	7.0e-9
-2.81e6	4.0e-9
-2.79e6	6.0e-9
-2.77e6	5.5e-9
-2.75e6	6.5e-9
-2.73e6	6.0e-9
-2.71e6	8.5e-9
-2.69e6	7.0e-9
-2.67e6	7.0e-9
-2.65e6	6.0e-9
-2.63e6	8.5e-9
-2.61e6	8.0e-9
-2.59e6	9.5e-9
-2.57e6	6.5e-9
-2.55e6	1.05e-8
-2.53e6	1.05e-8
-2.51e6	9.5e-9
-2.49e6	1.45e-8
-2.47e6	1.25e-8
-2.45e6	1.15e-8
-2.43e6	1.45e-8
-2.41e6	1.15e-8
-2.39e6	1.35e-8
-2.37e6	1.15e-8
-2.35e6	1.3e-8
-2.33e6	1.25e-8
-2.31e6	1.9e-8
-2.29e6	1.45e-8
-2.27e6	1.85e-8
-2.25e6	1.65e-8
-2.23e6	1.45e-8
-2.21e6	2.25e-8
-2.19e6	2.15e-8
-2.17e6	1.75e-8
-2.15e6	2.45e-8
-2.13e6	2.95e-8
-2.11e6	2.65e-8
-2.09e6	2.3e-8
-2.07e6	2.9e-8
-2.05e6	2.6e-8
-2.03e6	2.35e-8
-2.01e6	3.85e-8
-1.99e6	3.15e-8
-1.97e6	3.1e-8
-1.95e6	3.5e-8
-1.93e6	3.4e-8
-1.91e6	4.0e-8
-1.89e6	3.3e-8
-1.87e6	3.4e-8
-1.85e6	4.9e-8
-1.83e6	3.9e-8
-1.81e6	3.7e-8
-1.79e6	4.5e-8
-1.77e6	3.65e-8
-1.75e6	4.25e-8
-1.73e6	4.35e-8
-1.71e6	4.1e-8
-1.69e6	5.6e-8
