x	y
-675000.0	2.0e-12
-625000.0	0.0
-575000.0	0.0
-525000.0	0.0
-475000.0	0.0
-425000.0	0.0
-375000.0	0.0
-325000.0	0.0
-275000.0	0.0
-225000.0	0.0
-175000.0	0.0
-125000.0	0.0
-75000.0	0.0
-25000.0	0.0
25000.0	0.0
75000.0	0.0
125000.0	2.0e-12
175000.0	4.0e-12
225000.0	0.0
275000.0	0.0
325000.0	0.0
375000.0	0.0
425000.0	0.0
475000.0	0.0
525000.0	0.0
575000.0	2.0e-12
625000.0	0.0
675000.0	2.0e-12
725000.0	0.0
775000.0	0.0
825000.0	0.0
875000.0	0.0
925000.0	4.0e-12
975000.0	0.0
1.025e6	0.0
1.075e6	0.0
1.125e6	0.0
1.175e6	2.0e-12
1.225e6	0.0
1.275e6	0.0
1.325e6	2.0e-12
1.375e6	0.0
1.425e6	0.0
1.475e6	2.0e-12
1.525e6	0.0
1.575e6	2.0e-12
1.625e6	0.0
1.675e6	0.0
1.725e6	0.0
1.775e6	4.0e-12
1.825e6	4.0e-12
1.875e6	0.0
1.925e6	2.0e-12
1.975e6	2.0e-12
2.025e6	0.0
2.075e6	2.0e-12
2.125e6	2.0e-12
2.175e6	0.0
2.225e6	2.0e-12
2.275e6	2.0e-12
2.325e6	0.0
2.375e6	2.0e-12
2.425e6	8.0e-12
2.475e6	2.0e-12
2.525e6	2.0e-12
2.575e6	2.0e-12
2.625e6	8.0e-12
2.675e6	0.0
2.725e6	2.0e-12
2.775e6	2.0e-12
2.825e6	2.0e-12
2.875e6	2.0e-12
2.925e6	4.0e-12
2.975e6	0.0
3.025e6	4.0e-12
3.075e6	6.0e-12
3.125e6	6.0e-12
3.175e6	4.0e-12
3.225e6	6.0e-12
3.275e6	4.0e-12
3.325e6	2.0e-12
3.375e6	1.0e-11
3.425e6	2.0e-12
3.475e6	4.0e-12
3.525e6	4.0e-12
3.575e6	4.0e-12
3.625e6	4.0e-12
3.675e6	1.2e-11
3.725e6	2.0e-12
3.775e6	4.0e-12
3.825e6	4.0e-12
3.875e6	1.4e-11
3.925e6	6.0e-12
3.975e6	4.0e-12
4.025e6	1.0e-11
4.075e6	8.0e-12
4.125e6	2.0e-12
4.175e6	4.0e-12
4.225e6	6.0e-12
4.275e6	8.0e-12
4.325e6	1.2e-11
4.375e6	1.4e-11
4.425e6	6.0e-12
4.475e6	2.0e-11
4.525e6	1.4e-11
4.575e6	8.0e-12
4.625e6	2.6e-11
4.675e6	1.8e-11
4.725e6	2.2e-11
4.775e6	2.8e-11
4.825e6	2.4e-11
4.875e6	2.0e-11
4.925e6	2.0e-11
4.975e6	2.2e-11
5.025e6	1.0e-11
5.075e6	2.6e-11
5.125e6	2.4e-11
5.175e6	3.6e-11
5.225e6	2.0e-11
5.275e6	2.2e-11
5.325e6	2.4e-11
5.375e6	2.0e-11
5.425e6	3.0e-11
5.475e6	3.0e-11
5.525e6	4.0e-11
5.575e6	4.0e-11
5.625e6	2.6e-11
5.675e6	4.2e-11
5.725e6	4.2e-11
5.775e6	5.0e-11
5.825e6	2.4e-11
5.875e6	5.2e-11
5.925e6	6.0e-11
5.975e6	6.0e-11
6.025e6	2.6e-11
6.075e6	3.8e-11
6.125e6	6.2e-11
6.175e6	6.0e-11
6.225e6	5.4e-11
6.275e6	6.2e-11
6.325e6	5.8e-11
6.375e6	5.2e-11
6.425e6	5.6e-11
6.475e6	4.6e-11
6.525e6	6.8e-11
6.575e6	8.0e-11
6.625e6	7.0e-11
6.675e6	5.8e-11
6.725e6	9.2e-11
6.775e6	1.02e-10
6.825e6	7.6e-11
6.875e6	5.4e-11
6.925e6	9.4e-11
6.975e6	9.2e-11
7.025e6	9.2e-11
7.075e6	1.14e-10
7.125e6	1.22e-10
7.175e6	8.8e-11
7.225e6	1.16e-10
7.275e6	1.12e-10
7.325e6	1.2e-10
7.375e6	8.8e-11
7.425e6	1.56e-10
7.475e6	1.4e-10
7.525e6	1.46e-10
7.575e6	1.72e-10
7.625e6	1.24e-10
7.675e6	1.76e-10
7.725e6	1.4e-10
7.775e6	1.52e-10
7.825e6	1.7e-10
7.875e6	2.24e-10
7.925e6	1.72e-10
7.975e6	1.88e-10
8.025e6	1.74e-10
8.075e6	1.86e-10
8.125e6	1.86e-10
8.175e6	2.26e-10
8.225e6	1.98e-10
8.275e6	2.62e-10
8.325e6	2.34e-10
8.375e6	2.34e-10
8.425e6	2.52e-10
8.475e6	2.84e-10
8.525e6	2.52e-10
8.575e6	2.98e-10
8.625e6	3.14e-10
8.675e6	2.94e-10
8.725e6	3.06e-10
8.775e6	3.32e-10
8.825e6	2.92e-10
8.875e6	3.06e-10
8.925e6	3.54e-10
8.975e6	3.68e-10
9.025e6	3.22e-10
9.075e6	4.14e-10
9.125e6	4.2e-10
9.175e6	4.82e-10
9.225e6	3.84e-10
9.275e6	4.38e-10
9.325e6	4.3e-10
9.375e6	5.08e-10
9.425e6	4.88e-10
9.475e6	5.2e-10
9.525e6	5.34e-10
9.575e6	5.16e-10
9.625e6	5.46e-10
9.675e6	5.8e-10
9.725e6	5.7e-10
9.775e6	6.24e-10
9.825e6	6.42e-10
9.875e6	6.34e-10
9.925e6	6.14e-10
9.975e6	6.72e-10
1.0025e7	7.36e-10
1.0075e7	7.56e-10
1.0125e7	7.96e-10
1.0175e7	7.92e-10
1.0225e7	8.08e-10
1.0275e7	8.1e-10
1.0325e7	8.74e-10
1.0375e7	8.24e-10
1.0425e7	9.56e-10
1.0475e7	9.24e-10
1.0525e7	9.62e-10
1.0575e7	9.16e-10
1.0625e7	1.038e-9
1.0675e7	1.062e-9
1.0725e7	1.034e-9
1.0775e7	1.126e-9
1.0825e7	1.108e-9
1.0875e7	1.138e-9
1.0925e7	1.198e-9
1.0975e7	1.178e-9
1.1025e7	1.274e-9
1.1075e7	1.222e-9
1.1125e7	1.248e-9
1.1175e7	1.34e-9
1.1225e7	1.434e-9
1.1275e7	1.54e-9
1.1325e7	1.514e-9
1.1375e7	1.582e-9
1.1425e7	1.604e-9
1.1475e7	1.674e-9
1.1525e7	1.694e-9
1.1575e7	1.704e-9
1.1625e7	1.734e-9
1.1675e7	1.978e-9
1.1725e7	1.886e-9
1.1775e7	1.962e-9
1.1825e7	1.922e-9
1.1875e7	2.114e-9
1.1925e7	2.122e-9
1.1975e7	2.128e-9
1.2025e7	2.174e-9
1.2075e7	2.362e-9
1.2125e7	2.436e-9
1.2175e7	2.464e-9
1.2225e7	2.57e-9
1.2275e7	2.428e-9
1.2325e7	2.692e-9
1.2375e7	2.702e-9
1.2425e7	2.602e-9
1.2475e7	2.776e-9
1.2525e7	2.784e-9
1.2575e7	2.788e-9
1.2625e7	2.986e-9
1.2675e7	3.148e-9
1.2725e7	3.144e-9
1.2775e7	3.16e-9
1.2825e7	3.344e-9
1.2875e7	3.376e-9
1.2925e7	3.526e-9
1.2975e7	3.726e-9
1.3025e7	3.704e-9
1.3075e7	3.746e-9
1.3125e7	3.916e-9
1.3175e7	3.872e-9
1.3225e7	3.92e-9
1.3275e7	4.142e-9
1.3325e7	4.23e-9
1.3375e7	4.274e-9
1.3425e7	4.464e-9
1.3475e7	4.624e-9
1.3525e7	4.552e-9
1.3575e7	4.924e-9
1.3625e7	4.92e-9
1.3675e7	4.918e-9
1.3725e7	4.986e-9
1.3775e7	5.342e-9
1.3825e7	5.172e-9
1.3875e7	5.352e-9
1.3925e7	5.638e-9
1.3975e7	5.772e-9
1.4025e7	5.918e-9
1.4075e7	5.894e-9
1.4125e7	6.126e-9
1.4175e7	6.298e-9
1.4225e7	6.48e-9
1.4275e7	6.484e-9
1.4325e7	6.824e-9
1.4375e7	6.732e-9
1.4425e7	7.158e-9
1.4475e7	7.256e-9
1.4525e7	7.406e-9
1.4575e7	7.408e-9
1.4625e7	7.78e-9
1.4675e7	7.728e-9
1.4725e7	8.09e-9
1.4775e7	8.034e-9
1.4825e7	8.498e-9
1.4875e7	8.842e-9
1.4925e7	8.826e-9
1.4975e7	9.114e-9
1.5025e7	8.926e-9
1.5075e7	9.308e-9
1.5125e7	9.464e-9
1.5175e7	9.818e-9
1.5225e7	9.77e-9
1.5275e7	1.0214e-8
1.5325e7	1.0122e-8
1.5375e7	1.0528e-8
1.5425e7	1.0788e-8
1.5475e7	1.0908e-8
1.5525e7	1.0858e-8
1.5575e7	1.1728e-8
1.5625e7	1.1486e-8
1.5675e7	1.181e-8
1.5725e7	1.219e-8
1.5775e7	1.2256e-8
1.5825e7	1.2474e-8
1.5875e7	1.2754e-8
1.5925e7	1.288e-8
1.5975e7	1.3342e-8
1.6025e7	1.3506e-8
1.6075e7	1.3862e-8
1.6125e7	1.402e-8
1.6175e7	1.4194e-8
1.6225e7	1.4298e-8
1.6275e7	1.4662e-8
1.6325e7	1.4788e-8
1.6375e7	1.5586e-8
1.6425e7	1.5724e-8
1.6475e7	1.6226e-8
1.6525e7	1.611e-8
1.6575e7	1.6574e-8
1.6625e7	1.6802e-8
1.6675e7	1.7148e-8
1.6725e7	1.7256e-8
1.6775e7	1.7606e-8
1.6825e7	1.7778e-8
1.6875e7	1.8128e-8
1.6925e7	1.8558e-8
1.6975e7	1.8932e-8
1.7025e7	1.9144e-8
1.7075e7	1.9404e-8
1.7125e7	1.9986e-8
1.7175e7	1.9908e-8
1.7225e7	2.0664e-8
1.7275e7	2.091e-8
1.7325e7	2.0986e-8
1.7375e7	2.1854e-8
1.7425e7	2.1766e-8
