x	y
-350000.0	1.0e-12
-250000.0	0.0
-150000.0	0.0
-50000.0	0.0
50000.0	0.0
150000.0	0.0
250000.0	0.0
350000.0	0.0
450000.0	0.0
550000.0	1.0e-12
650000.0	0.0
750000.0	0.0
850000.0	0.0
950000.0	2.0e-12
1.05e6	0.0
1.15e6	1.0e-12
1.25e6	0.0
1.35e6	1.0e-12
1.45e6	0.0
1.55e6	0.0
1.65e6	1.0e-12
1.75e6	1.0e-12
1.85e6	2.0e-12
1.95e6	4.0e-12
2.05e6	2.0e-12
2.15e6	2.0e-12
2.25e6	1.0e-12
2.35e6	2.0e-12
2.45e6	4.0e-12
2.55e6	5.0e-12
2.65e6	2.0e-12
2.75e6	1.0e-12
2.85e6	1.0e-12
2.95e6	5.0e-12
3.05e6	2.0e-12
3.15e6	4.0e-12
3.25e6	6.0e-12
3.35e6	5.0e-12
3.45e6	6.0e-12
3.55e6	1.1e-11
3.65e6	5.0e-12
3.75e6	1.0e-11
3.85e6	1.1e-11
3.95e6	8.0e-12
4.05e6	2.0e-11
4.15e6	1.6e-11
4.25e6	5.0e-12
4.35e6	1.5e-11
4.45e6	1.2e-11
4.55e6	1.7e-11
4.65e6	3.0e-11
4.75e6	2.8e-11
4.85e6	1.7e-11
4.95e6	2.4e-11
5.05e6	3.4e-11
5.15e6	2.4e-11
5.25e6	3.3e-11
5.35e6	3.8e-11
5.45e6	4.0e-11
5.55e6	3.3e-11
5.65e6	3.5e-11
5.75e6	4.5e-11
5.85e6	4.7e-11
5.95e6	5.9e-11
6.05e6	5.0e-11
6.15e6	6.9e-11
6.25e6	6.4e-11
6.35e6	7.1e-11
6.45e6	6.5e-11
6.55e6	8.3e-11
6.65e6	8.9e-11
6.75e6	9.1e-11
6.85e6	8.9e-11
6.95e6	9.1e-11
7.05e6	1.05e-10
7.15e6	1.15e-10
7.25e6	1.47e-10
7.35e6	1.48e-10
7.45e6	1.58e-10
7.55e6	1.62e-10
7.65e6	1.6e-10
7.75e6	1.95e-10
7.85e6	1.95e-10
7.95e6	2.39e-10
8.05e6	2.12e-10
8.15e6	2.38e-10
8.25e6	2.68e-10
8.35e6	2.71e-10
8.45e6	3.3e-10
8.55e6	3.24e-10
8.65e6	3.73e-10
8.75e6	3.54e-10
8.85e6	4.12e-10
8.95e6	4.21e-10
9.05e6	4.76e-10
9.15e6	4.41e-10
9.25e6	5.07e-10
9.35e6	5.1e-10
9.45e6	5.65e-10
9.55e6	6.14e-10
9.65e6	6.34e-10
9.75e6	6.94e-10
9.85e6	6.96e-10
9.95e6	7.68e-10
1.005e7	8.33e-10
1.015e7	9.2e-10
1.025e7	9.7e-10
1.035e7	1.007e-9
1.045e7	1.054e-9
1.055e7	1.068e-9
1.065e7	1.239e-9
1.075e7	1.289e-9
1.085e7	1.288e-9
1.095e7	1.345e-9
1.105e7	1.51e-9
1.115e7	1.556e-9
1.125e7	1.635e-9
1.135e7	1.735e-9
1.145e7	1.914e-9
1.155e7	1.964e-9
1.165e7	1.985e-9
1.175e7	2.19e-9
1.185e7	2.305e-9
1.195e7	2.449e-9
1.205e7	2.499e-9
1.215e7	2.622e-9
1.225e7	2.867e-9
1.235e7	2.978e-9
1.245e7	3.137e-9
1.255e7	3.298e-9
1.265e7	3.429e-9
1.275e7	3.731e-9
1.285e7	3.855e-9
1.295e7	4.074e-9
1.305e7	4.295e-9
1.315e7	4.559e-9
1.325e7	4.613e-9
1.335e7	4.851e-9
1.345e7	4.999e-9
1.355e7	5.246e-9
1.365e7	5.702e-9
1.375e7	5.849e-9
1.385e7	6.237e-9
1.395e7	6.423e-9
1.405e7	6.829e-9
1.415e7	7.011e-9
1.425e7	7.367e-9
1.435e7	7.619e-9
1.445e7	8.016e-9
1.455e7	8.307e-9
1.465e7	8.74e-9
1.475e7	8.979e-9
1.485e7	9.52e-9
1.495e7	9.979e-9
1.505e7	1.0149e-8
1.515e7	1.0566e-8
1.525e7	1.1102e-8
1.535e7	1.1633e-8
1.545e7	1.2052e-8
1.555e7	1.2217e-8
1.565e7	1.2916e-8
1.575e7	1.3496e-8
1.585e7	1.3956e-8
1.595e7	1.4285e-8
1.605e7	1.4874e-8
1.615e7	1.5665e-8
1.625e7	1.5887e-8
1.635e7	1.6396e-8
1.645e7	1.7218e-8
1.655e7	1.7844e-8
1.665e7	1.8652e-8
1.675e7	1.9113e-8
1.685e7	1.9725e-8
1.695e7	2.0414e-8
1.705e7	2.1106e-8
1.715e7	2.1857e-8
1.725e7	2.2578e-8
1.735e7	2.3362e-8
1.745e7	2.4028e-8
1.755e7	2.4534e-8
1.765e7	2.5805e-8
1.775e7	2.6081e-8
1.785e7	2.6663e-8
1.795e7	2.7654e-8
1.805e7	2.8546e-8
1.815e7	2.9168e-8
1.825e7	3.0334e-8
1.835e7	3.1173e-8
1.845e7	3.195e-8
1.855e7	3.3112e-8
1.865e7	3.3578e-8
1.875e7	3.4336e-8
1.885e7	3.5368e-8
1.895e7	3.6334e-8
1.905e7	3.7139e-8
1.915e7	3.7911e-8
1.925e7	3.8698e-8
1.935e7	3.9505e-8
1.945e7	4.0499e-8
1.955e7	4.1824e-8
1.965e7	4.2312e-8
1.975e7	4.3096e-8
1.985e7	4.4566e-8
1.995e7	4.5598e-8
2.005e7	4.6023e-8
2.015e7	4.7286e-8
2.025e7	4.8095e-8
2.035e7	4.926e-8
2.045e7	5.0404e-8
2.055e7	5.0871e-8
2.065e7	5.1888e-8
2.075e7	5.2486e-8
2.085e7	5.3565e-8
2.095e7	5.4609e-8
2.105e7	5.5273e-8
2.115e7	5.6718e-8
2.125e7	5.6954e-8
2.135e7	5.8277e-8
2.145e7	5.9386e-8
2.155e7	5.9949e-8
2.165e7	6.0753e-8
2.175e7	6.2278e-8
2.185e7	6.2002e-8
2.195e7	6.354e-8
2.205e7	6.4402e-8
2.215e7	6.5281e-8
2.225e7	6.5715e-8
2.235e7	6.6725e-8
2.245e7	6.7771e-8
2.255e7	6.7754e-8
2.265e7	6.8899e-8
2.275e7	6.9196e-8
2.285e7	7.0356e-8
2.295e7	7.0485e-8
2.305e7	7.1422e-8
2.315e7	7.1933e-8
2.325e7	7.2601e-8
