x	y
170000.0	5.0e-11
190000.0	0.0
210000.0	0.0
230000.0	0.0
250000.0	0.0
270000.0	0.0
290000.0	0.0
310000.0	0.0
330000.0	0.0
350000.0	0.0
370000.0	0.0
390000.0	0.0
410000.0	0.0
430000.0	0.0
450000.0	0.0
470000.0	0.0
490000.0	5.0e-11
510000.0	0.0
530000.0	0.0
550000.0	0.0
570000.0	0.0
590000.0	0.0
610000.0	0.0
630000.0	0.0
650000.0	0.0
670000.0	5.0e-11
690000.0	0.0
710000.0	0.0
730000.0	0.0
750000.0	0.0
770000.0	0.0
790000.0	0.0
810000.0	0.0
830000.0	5.0e-11
850000.0	0.0
870000.0	0.0
890000.0	0.0
910000.0	0.0
930000.0	0.0
950000.0	0.0
970000.0	0.0
990000.0	5.0e-11
1.01e6	0.0
1.03e6	1.0e-10
1.05e6	5.0e-11
1.07e6	0.0
1.09e6	0.0
1.11e6	0.0
1.13e6	0.0
1.15e6	0.0
1.17e6	0.0
1.19e6	1.0e-10
1.21e6	0.0
1.23e6	1.0e-10
1.25e6	2.5e-10
1.27e6	5.0e-11
1.29e6	2.0e-10
1.31e6	1.0e-10
1.33e6	1.0e-10
1.35e6	1.0e-10
1.37e6	5.0e-11
1.39e6	5.0e-11
1.41e6	5.0e-11
1.43e6	1.0e-10
1.45e6	1.0e-10
1.47e6	1.0e-10
1.49e6	5.0e-11
1.51e6	1.0e-10
1.53e6	2.0e-10
1.55e6	2.0e-10
1.57e6	1.5e-10
1.59e6	1.0e-10
1.61e6	1.0e-10
1.63e6	1.0e-10
1.65e6	3.5e-10
1.67e6	2.0e-10
1.69e6	3.5e-10
1.71e6	1.5e-10
1.73e6	2.0e-10
1.75e6	0.0
1.77e6	5.0e-10
1.79e6	5.0e-10
1.81e6	1.0e-10
1.83e6	3.5e-10
1.85e6	4.5e-10
1.87e6	3.0e-10
1.89e6	5.5e-10
1.91e6	4.0e-10
1.93e6	4.0e-10
1.95e6	2.5e-10
1.97e6	4.0e-10
1.99e6	6.5e-10
2.01e6	6.5e-10
2.03e6	4.0e-10
2.05e6	5.0e-10
2.07e6	1.1e-9
2.09e6	8.5e-10
2.11e6	7.5e-10
2.13e6	1.15e-9
2.15e6	1.05e-9
2.17e6	1.0e-9
2.19e6	8.0e-10
2.21e6	1.1e-9
2.23e6	9.0e-10
2.25e6	1.0e-9
2.27e6	1.25e-9
2.29e6	1.3e-9
2.31e6	1.25e-9
2.33e6	1.4e-9
2.35e6	1.4e-9
2.37e6	2.2e-9
2.39e6	1.65e-9
2.41e6	1.7e-9
2.43e6	1.95e-9
2.45e6	2.7e-9
2.47e6	2.4e-9
2.49e6	2.4e-9
2.51e6	2.1e-9
2.53e6	2.3e-9
2.55e6	2.75e-9
2.57e6	3.25e-9
2.59e6	3.3e-9
2.61e6	4.15e-9
2.63e6	3.95e-9
2.65e6	2.8e-9
2.67e6	4.1e-9
2.69e6	4.5e-9
2.71e6	4.75e-9
2.73e6	4.45e-9
2.75e6	5.2e-9
2.77e6	4.9e-9
2.79e6	4.95e-9
2.81e6	5.4e-9
2.83e6	5.3e-9
2.85e6	4.65e-9
2.87e6	6.55e-9
2.89e6	7.15e-9
2.91e6	7.0e-9
2.93e6	6.8e-9
2.95e6	7.0e-9
2.97e6	8.05e-9
2.99e6	7.6e-9
3.01e6	7.95e-9
3.03e6	8.85e-9
3.05e6	8.6e-9
3.07e6	1.0e-8
3.09e6	9.25e-9
3.11e6	9.9e-9
3.13e6	1.185e-8
3.15e6	1.115e-8
3.17e6	1.15e-8
3.19e6	1.17e-8
3.21e6	1.215e-8
3.23e6	1.32e-8
3.25e6	1.405e-8
3.27e6	1.555e-8
3.29e6	1.445e-8
3.31e6	1.575e-8
3.33e6	1.86e-8
3.35e6	1.615e-8
3.37e6	2.05e-8
3.39e6	1.74e-8
3.41e6	2.075e-8
3.43e6	2.095e-8
3.45e6	2.19e-8
3.47e6	2.385e-8
3.49e6	2.35e-8
3.51e6	2.305e-8
3.53e6	2.59e-8
3.55e6	2.52e-8
3.57e6	2.61e-8
3.59e6	2.73e-8
3.61e6	2.795e-8
3.63e6	2.99e-8
3.65e6	2.87e-8
3.67e6	3.3e-8
3.69e6	3.285e-8
3.71e6	3.455e-8
3.73e6	3.5e-8
3.75e6	3.73e-8
3.77e6	3.84e-8
3.79e6	4.005e-8
3.81e6	4.37e-8
3.83e6	4.26e-8
3.85e6	4.31e-8
3.87e6	4.75e-8
3.89e6	4.755e-8
3.91e6	4.73e-8
3.93e6	5.0e-8
3.95e6	5.125e-8
3.97e6	5.525e-8
3.99e6	5.14e-8
4.01e6	5.645e-8
4.03e6	6.18e-8
4.05e6	6.135e-8
4.07e6	6.375e-8
4.09e6	6.79e-8
4.11e6	6.735e-8
4.13e6	6.84e-8
4.15e6	6.99e-8
4.17e6	7.44e-8
4.19e6	7.525e-8
4.21e6	7.11e-8
4.23e6	7.835e-8
4.25e6	8.155e-8
4.27e6	8.395e-8
4.29e6	8.55e-8
4.31e6	8.96e-8
4.33e6	9.085e-8
4.35e6	8.975e-8
4.37e6	9.675e-8
4.39e6	9.73e-8
4.41e6	1.003e-7
4.43e6	1.0375e-7
4.45e6	1.061e-7
4.47e6	1.1175e-7
4.49e6	1.1155e-7
4.51e6	1.18e-7
4.53e6	1.171e-7
4.55e6	1.138e-7
4.57e6	1.2465e-7
4.59e6	1.2445e-7
4.61e6	1.2815e-7
4.63e6	1.3155e-7
4.65e6	1.298e-7
4.67e6	1.3415e-7
4.69e6	1.433e-7
4.71e6	1.4695e-7
4.73e6	1.474e-7
4.75e6	1.4865e-7
4.77e6	1.567e-7
4.79e6	1.545e-7
4.81e6	1.638e-7
4.83e6	1.6035e-7
4.85e6	1.619e-7
4.87e6	1.6385e-7
4.89e6	1.747e-7
4.91e6	1.791e-7
4.93e6	1.831e-7
4.95e6	1.848e-7
4.97e6	1.874e-7
4.99e6	1.945e-7
5.01e6	1.9655e-7
5.03e6	1.9695e-7
5.05e6	1.9445e-7
5.07e6	2.006e-7
5.09e6	2.0305e-7
5.11e6	2.096e-7
5.13e6	2.137e-7
5.15e6	2.1975e-7
5.17e6	2.2405e-7
5.19e6	2.237e-7
5.21e6	2.211e-7
5.23e6	2.233e-7
5.25e6	2.3215e-7
5.27e6	2.411e-7
5.29e6	2.363e-7
5.31e6	2.3785e-7
