T	Y
1.0	0.04367092783167949
2.0	0.04316001029985537
3.0	0.04273195565960711
4.0	0.04226973414101697
5.0	0.041947854079078827
6.0	0.04153475297933491
7.0	0.041175370551669824
8.0	0.040834669085588936
9.0	0.040531437599742585
10.0	0.040204150768009476
11.0	0.03999978629689838
12.0	0.03972417371116805
13.0	0.03950278135312465
14.0	0.039304050244926426
15.0	0.03912569259746108
16.0	0.038956843847004506
17.0	0.03878412484602893
18.0	0.03868062627675703
19.0	0.03852048842222151
20.0	0.03846595129287349
21.0	0.03834473953066092
22.0	0.03822911085694926
23.0	0.038158782035707224
24.0	0.038098169779111644
25.0	0.03804381591352346
