Trading period,\( \lambda = 1.0e-6 \),\( \lambda = 1.0e-5 \),\( \lambda = 0.0001 \),\( \lambda = 0.001 \)
1,0.2022,0.4937,0.8499,0.98
2,0.1638,0.25,0.1276,0.01956
3,0.1333,0.1266,0.01914,0.0003902
4,0.1092,0.06409,0.002873,7.787e-6
5,0.09041,0.03246,0.0004312,1.554e-7
6,0.07592,0.01646,6.471e-5,3.101e-9
7,0.06509,0.008389,9.711e-6,6.188e-11
8,0.05739,0.004352,1.457e-6,1.236e-12
9,0.05246,0.002409,2.195e-7,-1.124e-14
10,0.05005,0.001626,3.775e-8,3.533e-14
