Trading period,\( \lambda = 0.0 \),\( \lambda = 0.25 \),\( \lambda = 0.5 \),\( \lambda = 0.75 \),\( \lambda = 1.0 \)
1,-9.721e-7,5.945e-5,0.0001225,0.0001936,0.0002611
2,-9.207e-7,7.078e-5,0.0001414,0.0002203,0.0002862
3,-9.189e-7,7.15e-5,0.0001453,0.0002216,0.0002853
4,-8.901e-7,8.43e-5,0.0001686,0.0002531,0.0003173
5,-9.781e-7,8.492e-5,0.000174,0.0002562,0.0003215
6,-9.155e-7,9.518e-5,0.0001885,0.0002709,0.0003383
7,-8.701e-7,0.0001087,0.0002098,0.0002984,0.0003692
8,-8.044e-7,0.0001197,0.0002249,0.0003164,0.0003931
9,-7.891e-7,0.0001191,0.0002229,0.0003128,0.0003804
10,-7.914e-7,0.000128,0.0002383,0.0003346,0.0004106
11,-9.787e-7,0.0001109,0.0002197,0.0003098,0.0003804
12,-1.029e-6,0.0001154,0.0002318,0.0003286,0.0004036
13,-1.006e-6,0.000115,0.0002298,0.0003224,0.0003917
14,-1.051e-6,0.0001143,0.0002292,0.0003191,0.0003883
15,-1.058e-6,0.0001185,0.0002392,0.000331,0.0004051
16,-1.045e-6,0.0001245,0.0002482,0.0003411,0.000417
17,-1.109e-6,0.0001186,0.0002418,0.0003319,0.0004054
18,-1.044e-6,0.0001252,0.0002467,0.0003399,0.0004106
19,-1.056e-6,0.000123,0.0002439,0.0003369,0.0004052
20,-1.089e-6,0.00012,0.0002386,0.0003307,0.0003951
21,-1.139e-6,0.0001159,0.0002331,0.000325,0.0003842
22,-1.13e-6,0.0001179,0.0002353,0.0003289,0.0003877
23,-1.196e-6,0.0001066,0.0002176,0.0003019,0.0003574
24,-1.179e-6,0.0001092,0.0002192,0.0003044,0.0003629
25,-1.154e-6,0.000106,0.0002101,0.0002858,0.0003371
26,-1.156e-6,0.0001078,0.0002129,0.0002881,0.000342
27,-1.095e-6,0.0001131,0.0002191,0.0002946,0.0003482
28,-1.186e-6,0.000109,0.0002155,0.0002942,0.0003482
29,-1.224e-6,0.0001081,0.000216,0.0002961,0.0003496
30,-1.205e-6,0.0001081,0.0002119,0.0002891,0.0003438
31,-1.27e-6,9.763e-5,0.0001958,0.0002689,0.0003219
32,-1.325e-6,9.456e-5,0.0001938,0.0002703,0.0003272
33,-1.239e-6,0.0001011,0.000201,0.0002798,0.0003389
34,-1.232e-6,0.0001032,0.0002018,0.0002813,0.0003382
35,-1.205e-6,0.0001049,0.0002026,0.0002824,0.0003367
36,-1.252e-6,9.167e-5,0.0001794,0.0002509,0.0002949
37,-1.28e-6,9.064e-5,0.0001781,0.0002514,0.0002941
38,-1.237e-6,9.785e-5,0.0001887,0.000266,0.0003112
39,-1.182e-6,0.0001007,0.000191,0.0002671,0.0003099
40,-1.224e-6,9.293e-5,0.0001768,0.0002481,0.0002874
41,-1.289e-6,9.045e-5,0.0001751,0.0002471,0.000289
42,-1.208e-6,9.532e-5,0.0001792,0.0002498,0.0002877
43,-1.146e-6,0.0001003,0.0001872,0.0002577,0.0002942
44,-1.239e-6,8.679e-5,0.0001681,0.0002308,0.0002632
45,-1.196e-6,0.0001015,0.0001899,0.0002588,0.0003013
46,-1.182e-6,9.732e-5,0.0001802,0.0002449,0.0002824
47,-1.111e-6,0.0001037,0.0001843,0.0002448,0.00028
48,-1.026e-6,0.00011,0.0001902,0.000254,0.0002939
49,-9.745e-7,0.0001084,0.0001856,0.0002478,0.0002887
50,-9.424e-7,0.0001152,0.0001941,0.0002589,0.0003071
51,-1.019e-6,0.0001062,0.0001806,0.0002406,0.0002819
