Trading period,\( \lambda = 0.0 \),\( \lambda = 0.25 \),\( \lambda = 0.5 \),\( \lambda = 0.75 \),\( \lambda = 1.0 \)
1,0.1868,0.2251,0.2614,0.296,0.3291
2,0.2851,0.306,0.3233,0.3377,0.3496
3,0.2853,0.2803,0.2738,0.2666,0.2588
4,0.137,0.1193,0.1031,0.08818,0.07412
5,0.1057,0.06941,0.03842,0.01154,-0.01163
