Trading period,\( \lambda = 0.0 \),\( \lambda = 0.25 \),\( \lambda = 0.5 \),\( \lambda = 0.75 \),\( \lambda = 1.0 \)
1,9.877e-5,-0.005029,-0.0102,-0.01538,-0.0206
2,0.0001306,-0.003009,-0.006116,-0.009156,-0.01218
3,5.311e-5,-0.001367,-0.002729,-0.004049,-0.005295
4,3.356e-5,0.0001024,0.0002149,0.0003488,0.0005435
5,-9.623e-5,0.001105,0.002325,0.003537,0.004778
6,-7.788e-5,0.001906,0.003874,0.005791,0.007665
7,3.534e-5,0.002433,0.004773,0.007049,0.00923
8,-2.843e-5,0.002421,0.004767,0.007047,0.009252
9,-8.351e-5,0.001707,0.003455,0.005154,0.006833
10,-6.532e-5,-0.0002695,-0.0003623,-0.0003439,-0.0002292
