Trading period,\( \lambda = 0.0 \),\( \lambda = 0.25 \),\( \lambda = 0.5 \),\( \lambda = 0.75 \),\( \lambda = 1.0 \)
1,0.1986,0.4068,0.5727,0.6811,0.7489
2,0.1993,0.2566,0.2658,0.246,0.2221
3,0.2,0.1612,0.1156,0.08135,0.05997
4,0.1998,0.1021,0.04307,0.01615,0.003885
5,0.2023,0.07334,0.002744,-0.0246,-0.03483
