Trading period,\( \lambda = 0.0 \),\( \lambda = 0.25 \),\( \lambda = 0.5 \),\( \lambda = 0.75 \),\( \lambda = 1.0 \)
1,0.1994,0.2168,0.2344,0.2521,0.2699
2,0.1994,0.2116,0.2224,0.2323,0.2412
3,0.1995,0.2044,0.2075,0.2094,0.2109
4,0.1997,0.1935,0.1866,0.1793,0.1714
5,0.202,0.1737,0.149,0.1269,0.1067
