Trading period,\( \lambda = 1.0e-6 \),\( \lambda = 1.0e-5 \),\( \lambda = 0.0001 \),\( \lambda = 0.001 \)
1,0.4383,0.8225,0.976,0.9975
2,0.2996,0.1513,0.02354,0.002491
3,0.1735,0.02536,0.000479,5.164e-6
4,0.05816,0.00081,4.749e-13,2.926e-14
5,0.03049,8.26e-14,1.385e-13,8.441e-15
