Trading period,\( \lambda = 0.0 \),\( \lambda = 0.25 \),\( \lambda = 0.5 \),\( \lambda = 0.75 \),\( \lambda = 1.0 \)
1,5.585e-5,-0.003819,-0.007866,-0.01179,-0.01558
2,8.074e-5,-0.001767,-0.003604,-0.005457,-0.007376
3,2.75e-5,-0.0001562,-0.000228,-0.0004833,-0.001015
4,5.473e-6,0.001203,0.002631,0.003691,0.004213
5,-8.657e-5,0.002031,0.003933,0.005746,0.007527
6,-8.069e-5,0.002502,0.004959,0.007248,0.009226
7,2.533e-5,0.002554,0.004952,0.007208,0.009144
8,-1.239e-5,0.00181,0.003519,0.005166,0.006679
9,-4.599e-5,-2.647e-5,-0.0001412,-3.043e-5,0.0006398
10,3.076e-5,-0.004331,-0.008155,-0.0113,-0.01346
