Trading period,\( \lambda = 1.0e-6 \),\( \lambda = 1.0e-5 \),\( \lambda = 0.0001 \),\( \lambda = 0.001 \)
1,0.3848,0.76,0.9616,0.9959
2,0.2368,0.1824,0.03694,0.004104
3,0.1457,0.04378,0.001419,1.691e-5
4,0.08977,0.01051,5.453e-5,6.969e-8
5,0.05539,0.002521,2.095e-6,2.872e-10
6,0.03434,0.0006052,8.049e-8,1.183e-12
7,0.02156,0.0001452,3.093e-9,8.172e-15
8,0.01397,3.488e-5,1.188e-10,-2.076e-15
9,0.009736,8.481e-6,4.516e-12,-8.553e-15
10,0.007847,2.49e-6,2.228e-13,7.831e-15
