Trading period,\( \lambda = 0.0 \),\( \lambda = 0.25 \),\( \lambda = 0.5 \),\( \lambda = 0.75 \),\( \lambda = 1.0 \)
1,8.992e-5,-0.002051,-0.004157,-0.00625,-0.008405
2,0.0001141,-0.001714,-0.003494,-0.005272,-0.00716
3,0.0001249,-0.001352,-0.00281,-0.004264,-0.005771
4,0.0001454,-0.001017,-0.002157,-0.003286,-0.00448
5,8.051e-5,-0.0008063,-0.00167,-0.002526,-0.003364
6,8.326e-5,-0.0005135,-0.001109,-0.001701,-0.002353
7,6.553e-5,-0.000291,-0.0006524,-0.001031,-0.001503
8,6.132e-5,-0.0001257,-0.000272,-0.0004299,-0.0006203
9,6.911e-5,8.997e-5,0.0001436,0.0001972,0.0002346
10,4.935e-5,0.0002874,0.0005583,0.0008118,0.0009637
11,-8.556e-6,0.0004149,0.0008384,0.001248,0.001668
12,-2.883e-5,0.0006012,0.001208,0.001802,0.002261
13,-1.769e-5,0.0006652,0.001349,0.002012,0.002611
14,-6.782e-5,0.000689,0.001476,0.002233,0.002946
15,-7.068e-5,0.0007691,0.0016,0.002395,0.003256
16,-6.22e-5,0.0008242,0.001668,0.00249,0.003445
17,-7.533e-5,0.0008194,0.001679,0.002521,0.003441
18,-7.1e-5,0.0007448,0.001569,0.002374,0.003393
19,-5.529e-5,0.0008531,0.001732,0.00258,0.003542
20,-8.342e-5,0.0007485,0.001518,0.002261,0.003215
21,-0.0001037,0.0006745,0.001376,0.002066,0.002855
22,-7.95e-5,0.0005498,0.001114,0.001681,0.002286
23,-9.908e-5,0.0003003,0.0006108,0.0009567,0.001226
24,-9.356e-5,-0.0001746,-0.0002705,-0.0002699,-0.0003471
25,3.318e-5,-0.0009864,-0.001848,-0.002599,-0.003341
