Trading period,\( \lambda = 0.0 \),\( \lambda = 0.25 \),\( \lambda = 0.5 \),\( \lambda = 0.75 \),\( \lambda = 1.0 \)
1,0.1998,0.4384,0.6449,0.8096,0.945
2,0.2001,0.2504,0.2289,0.154,0.05159
3,0.2002,0.148,0.08183,0.02907,0.003083
4,0.2001,0.09286,0.03063,0.00618,0.0003043
5,0.1998,0.07027,0.01377,0.001118,9.306e-6
