Trading period,\( \lambda = 0.0 \),\( \lambda = 0.25 \),\( \lambda = 0.5 \),\( \lambda = 0.75 \),\( \lambda = 1.0 \)
1,5.585e-5,-0.003815,-0.007713,-0.01163,-0.01557
2,8.074e-5,-0.001764,-0.003615,-0.005489,-0.007377
3,2.75e-5,-0.0001562,-0.0003914,-0.0006907,-0.001011
4,5.473e-6,0.001201,0.002288,0.003281,0.004216
5,-8.657e-5,0.002034,0.003998,0.005822,0.007543
6,-8.069e-5,0.002507,0.00491,0.007147,0.009235
7,2.533e-5,0.002555,0.004892,0.007099,0.00914
8,-1.239e-5,0.001809,0.0035,0.005122,0.006674
9,-4.599e-5,-3.613e-5,8.317e-5,0.0003098,0.0006303
10,3.076e-5,-0.004335,-0.007951,-0.01097,-0.01348
