Trading period,\( \lambda = 0.0 \),\( \lambda = 0.25 \),\( \lambda = 0.5 \),\( \lambda = 0.75 \),\( \lambda = 1.0 \)
1,0.099,0.1239,0.1473,0.1695,0.1902
2,0.09938,0.1165,0.1318,0.1455,0.1579
3,0.09909,0.1103,0.1198,0.1277,0.1344
4,0.1001,0.1052,0.109,0.1117,0.1133
5,0.1003,0.1008,0.1007,0.1,0.09899
6,0.1002,0.09606,0.09211,0.08781,0.08394
7,0.1005,0.09197,0.08428,0.07711,0.07082
8,0.1004,0.08889,0.0788,0.06996,0.0622
9,0.1001,0.08497,0.07172,0.0605,0.05075
10,0.101,0.08148,0.06452,0.05015,0.03753
