Trading period,\( \lambda = 0.0 \),\( \lambda = 0.25 \),\( \lambda = 0.5 \),\( \lambda = 0.75 \),\( \lambda = 1.0 \)
1,2.37e-5,-0.00201,-0.004133,-0.006267,-0.008466
2,3.373e-5,-0.001624,-0.003387,-0.005162,-0.007008
3,2.496e-5,-0.001336,-0.0028,-0.004272,-0.005738
4,3.05e-5,-0.001015,-0.002158,-0.003303,-0.004487
5,1.078e-5,-0.0008221,-0.001697,-0.00258,-0.003388
6,1.428e-5,-0.0005121,-0.001098,-0.001693,-0.002308
7,1.411e-5,-0.0002907,-0.0006206,-0.000977,-0.001408
8,7.81e-6,-4.95e-5,-0.0001668,-0.0002997,-0.0004992
9,7.767e-6,0.0001366,0.0002037,0.0002634,0.0002764
10,6.461e-6,0.0003178,0.0005734,0.0008121,0.0009111
11,-1.17e-5,0.0003932,0.0007796,0.001155,0.001496
12,-1.356e-5,0.0005362,0.001092,0.001636,0.002022
13,-2.103e-5,0.0006332,0.001269,0.001895,0.002447
14,-2.022e-5,0.0006979,0.001453,0.00218,0.002848
15,-2.278e-5,0.0007524,0.001561,0.002347,0.003138
16,-2.295e-5,0.0008001,0.001643,0.002478,0.003371
17,-3.163e-5,0.0008367,0.001721,0.002603,0.003498
18,-1.891e-5,0.0007798,0.001618,0.002455,0.003476
19,-2.094e-5,0.0008079,0.001655,0.002496,0.003419
20,-1.257e-5,0.0006883,0.001449,0.002213,0.003205
21,-8.617e-6,0.0006066,0.001309,0.002017,0.002834
22,7.843e-7,0.0004913,0.001058,0.001633,0.00229
23,2.446e-6,0.0002751,0.0006494,0.001044,0.00142
24,2.002e-6,-0.0001356,-0.0001471,-0.0001096,-9.311e-5
25,2.559e-5,-0.0009583,-0.001825,-0.002566,-0.003258
