Trading period,\( \lambda = 0.0 \),\( \lambda = 0.25 \),\( \lambda = 0.5 \),\( \lambda = 0.75 \),\( \lambda = 1.0 \)
1,-5.748e-7,5.96e-5,0.0001225,0.0001938,0.0002614
2,-5.173e-7,7.088e-5,0.0001414,0.0002204,0.0002865
3,-5.318e-7,7.161e-5,0.0001452,0.0002217,0.0002856
4,-5.179e-7,8.436e-5,0.0001685,0.0002532,0.0003176
5,-6.256e-7,8.498e-5,0.0001739,0.0002563,0.0003217
6,-5.492e-7,9.518e-5,0.0001884,0.0002709,0.0003385
7,-5.063e-7,0.0001087,0.0002096,0.0002982,0.0003694
8,-4.579e-7,0.0001196,0.0002247,0.0003161,0.0003933
9,-4.232e-7,0.000119,0.0002228,0.0003126,0.0003806
10,-4.181e-7,0.0001278,0.0002381,0.0003344,0.0004108
11,-6.49e-7,0.0001109,0.0002196,0.0003096,0.0003806
12,-7.09e-7,0.0001154,0.0002317,0.0003284,0.0004038
13,-6.729e-7,0.000115,0.0002297,0.0003223,0.0003919
14,-7.154e-7,0.0001144,0.0002291,0.0003189,0.0003885
15,-7.315e-7,0.0001186,0.0002391,0.0003308,0.0004054
16,-7.123e-7,0.0001245,0.0002481,0.0003409,0.0004172
17,-7.844e-7,0.0001186,0.0002417,0.0003317,0.0004056
18,-6.938e-7,0.0001252,0.0002466,0.0003395,0.0004108
19,-7.023e-7,0.000123,0.0002438,0.0003366,0.0004054
20,-7.267e-7,0.0001201,0.0002385,0.0003304,0.0003953
21,-7.707e-7,0.0001161,0.000233,0.0003247,0.0003844
22,-7.371e-7,0.0001181,0.0002352,0.0003287,0.0003879
23,-8.03e-7,0.0001069,0.0002176,0.0003018,0.0003577
24,-7.812e-7,0.0001094,0.0002192,0.0003044,0.0003632
25,-7.597e-7,0.0001062,0.0002101,0.0002859,0.0003374
26,-7.503e-7,0.000108,0.0002129,0.0002882,0.0003423
27,-6.795e-7,0.0001133,0.000219,0.0002946,0.0003485
28,-7.564e-7,0.0001092,0.0002155,0.0002942,0.0003485
29,-7.95e-7,0.0001084,0.000216,0.0002962,0.0003499
30,-7.71e-7,0.0001084,0.0002119,0.0002891,0.0003441
31,-8.612e-7,9.798e-5,0.0001958,0.000269,0.0003222
32,-9.153e-7,9.497e-5,0.0001939,0.0002705,0.0003275
33,-8.427e-7,0.0001015,0.000201,0.0002801,0.0003392
34,-8.299e-7,0.0001035,0.0002018,0.0002815,0.0003385
35,-8.114e-7,0.0001052,0.0002026,0.0002825,0.000337
36,-8.74e-7,9.208e-5,0.0001795,0.0002512,0.0002953
37,-9.054e-7,9.106e-5,0.0001782,0.0002516,0.0002944
38,-8.76e-7,9.822e-5,0.0001888,0.0002662,0.0003115
39,-8.086e-7,0.0001011,0.0001911,0.0002673,0.0003102
40,-8.442e-7,9.334e-5,0.0001769,0.0002485,0.0002878
41,-8.99e-7,9.088e-5,0.0001752,0.0002475,0.0002893
42,-8.08e-7,9.572e-5,0.0001793,0.0002502,0.0002881
43,-7.382e-7,0.0001006,0.0001873,0.0002581,0.0002946
44,-8.183e-7,8.726e-5,0.0001682,0.0002312,0.0002636
45,-7.674e-7,0.0001019,0.00019,0.0002591,0.0003016
46,-7.437e-7,9.773e-5,0.0001803,0.0002451,0.0002827
47,-6.854e-7,0.000104,0.0001843,0.0002449,0.0002803
48,-6.012e-7,0.0001102,0.0001902,0.000254,0.0002941
49,-5.382e-7,0.0001087,0.0001856,0.0002478,0.0002889
50,-5.309e-7,0.0001154,0.0001941,0.0002587,0.0003073
51,-6.15e-7,0.0001065,0.0001806,0.0002405,0.0002821
52,-5.874e-7,0.0001082,0.0001847,0.0002433,0.0002864
53,-6.155e-7,0.0001062,0.000182,0.000242,0.0002838
54,-5.874e-7,0.0001024,0.0001732,0.0002297,0.0002698
55,-6.41e-7,9.224e-5,0.0001613,0.0002089,0.0002427
56,-6.194e-7,8.59e-5,0.0001491,0.0001906,0.0002221
57,-6.42e-7,7.745e-5,0.0001358,0.0001752,0.0002085
58,-6.179e-7,8.314e-5,0.0001456,0.0001844,0.0002167
59,-6.506e-7,7.723e-5,0.0001356,0.0001718,0.0001987
60,-6.665e-7,7.189e-5,0.0001248,0.0001584,0.0001797
61,-7.401e-7,6.864e-5,0.0001214,0.0001573,0.0001809
62,-7.573e-7,5.976e-5,0.0001057,0.0001374,0.0001621
63,-7.728e-7,4.771e-5,8.036e-5,0.0001003,0.0001162
64,-8.975e-7,4.145e-5,7.935e-5,0.0001051,0.0001286
65,-7.707e-7,5.024e-5,8.731e-5,0.0001193,0.0001525
66,-7.576e-7,4.48e-5,7.455e-5,0.0001034,0.0001363
67,-7.519e-7,3.48e-5,5.631e-5,7.915e-5,0.0001062
68,-7.193e-7,3.226e-5,5.186e-5,7.648e-5,0.0001025
69,-6.508e-7,2.688e-5,3.458e-5,4.823e-5,6.503e-5
70,-6.431e-7,2.92e-5,4.187e-5,5.654e-5,7.342e-5
71,-7.468e-7,1.915e-5,3.102e-5,4.662e-5,6.563e-5
72,-6.751e-7,1.169e-5,1.626e-5,2.125e-5,3.582e-5
73,-6.401e-7,1.168e-5,1.631e-5,1.878e-5,3.486e-5
74,-5.305e-7,1.251e-5,1.133e-5,9.39e-6,2.452e-5
75,-5.128e-7,3.844e-6,-6.525e-6,-1.725e-5,-1.061e-5
76,-5.848e-7,-1.201e-5,-2.972e-5,-4.673e-5,-4.167e-5
77,-6.039e-7,-1.909e-5,-4.14e-5,-6.5e-5,-6.645e-5
78,-6.525e-7,-2.894e-5,-5.529e-5,-8.426e-5,-8.339e-5
79,-6.063e-7,-4.033e-5,-8.095e-5,-0.0001236,-0.0001352
80,-5.79e-7,-5.836e-5,-0.000116,-0.0001708,-0.0001971
81,-6.064e-7,-7.015e-5,-0.0001362,-0.0001962,-0.0002299
82,-6.707e-7,-9.1e-5,-0.0001718,-0.0002443,-0.0002907
83,-7.648e-7,-0.00012,-0.0002186,-0.0003055,-0.0003597
84,-7.355e-7,-0.0001287,-0.000236,-0.0003279,-0.0003839
85,-7.346e-7,-0.0001567,-0.0002858,-0.0003951,-0.0004656
86,-7.357e-7,-0.0001845,-0.0003374,-0.0004628,-0.0005432
87,-6.48e-7,-0.0001942,-0.0003645,-0.0005038,-0.0005967
88,-7.268e-7,-0.0002222,-0.0004086,-0.0005616,-0.0006595
89,-6.967e-7,-0.0002346,-0.0004369,-0.0006029,-0.0007175
90,-7.009e-7,-0.0002526,-0.0004676,-0.0006462,-0.0007733
91,-7.187e-7,-0.0002748,-0.000513,-0.0007056,-0.0008498
92,-6.406e-7,-0.0003026,-0.0005744,-0.0007868,-0.0009449
93,-5.931e-7,-0.0003285,-0.0006216,-0.0008548,-0.00103
94,-4.779e-7,-0.0003557,-0.0006732,-0.0009284,-0.001118
95,-6.577e-7,-0.0004034,-0.0007446,-0.001018,-0.001227
96,-7.874e-7,-0.0004689,-0.00086,-0.001165,-0.001426
97,-5.411e-7,-0.0005001,-0.0009411,-0.001298,-0.001605
98,-3.456e-7,-0.0005526,-0.001049,-0.001447,-0.001776
99,5.1e-7,-0.0007053,-0.001391,-0.001929,-0.002342
100,6.663e-5,-0.0009231,-0.001757,-0.002378,-0.002891
