Trading period,\( \lambda = 1.0e-6 \),\( \lambda = 1.0e-5 \),\( \lambda = 0.0001 \),\( \lambda = 0.001 \)
1,0.4953,0.8499,0.98,0.9979
2,0.2524,0.1276,0.01956,0.002065
3,0.1309,0.01914,0.0003902,4.27e-6
4,0.07248,0.002883,7.786e-6,8.095e-9
5,0.04893,0.0004959,1.599e-7,2.897e-9
