Trading period,\( \lambda = 0.0 \),\( \lambda = 0.25 \),\( \lambda = 0.5 \),\( \lambda = 0.75 \),\( \lambda = 1.0 \)
1,0.1994,0.2168,0.2344,0.2521,0.2701
2,0.1994,0.2117,0.2226,0.2322,0.2408
3,0.1995,0.2046,0.2077,0.2093,0.2097
4,0.1997,0.1937,0.1867,0.1792,0.1715
5,0.202,0.1732,0.1487,0.1272,0.1079
