Trading period,\( \lambda = 0.0 \),\( \lambda = 0.25 \),\( \lambda = 0.5 \),\( \lambda = 0.75 \),\( \lambda = 1.0 \)
1,0.1992,0.4074,0.5737,0.6822,0.7499
2,0.1993,0.2564,0.2655,0.2457,0.2216
3,0.1995,0.1606,0.1152,0.08082,0.05941
4,0.1997,0.1023,0.04311,0.01625,0.004082
5,0.2023,0.07331,0.002517,-0.02494,-0.03496
