Trading period,\( \lambda = 0.0 \),\( \lambda = 0.25 \),\( \lambda = 0.5 \),\( \lambda = 0.75 \),\( \lambda = 1.0 \)
1,0.1868,0.3481,0.4904,0.602,0.682
2,0.2851,0.3119,0.3131,0.2944,0.2686
3,0.2853,0.2166,0.1554,0.1091,0.07802
4,0.137,0.07861,0.03825,0.01466,0.002218
5,0.1057,0.04489,0.002884,-0.02011,-0.03082
