Trading period,\( \lambda = 0.0 \),\( \lambda = 0.25 \),\( \lambda = 0.5 \),\( \lambda = 0.75 \),\( \lambda = 1.0 \)
1,0.009999,0.011,0.01203,0.01306,0.0141
2,0.009999,0.01098,0.01198,0.01299,0.014
3,0.009999,0.01095,0.01193,0.01291,0.01387
4,0.009999,0.01093,0.01189,0.01284,0.01377
5,0.009999,0.01091,0.01184,0.01276,0.01366
6,0.009999,0.01089,0.01179,0.01268,0.01355
7,0.009999,0.01087,0.01176,0.01262,0.01346
8,0.009999,0.01086,0.01171,0.01254,0.01336
9,0.009999,0.01083,0.01166,0.01246,0.01324
10,0.009999,0.01081,0.01161,0.01239,0.01314
11,0.009999,0.01078,0.01156,0.01231,0.01303
12,0.009999,0.01076,0.01151,0.01224,0.01294
13,0.009999,0.01073,0.01146,0.01215,0.01282
14,0.009999,0.01071,0.01141,0.01208,0.01272
15,0.009999,0.01069,0.01137,0.01201,0.01264
16,0.009999,0.01067,0.01133,0.01195,0.01254
17,0.009999,0.01064,0.01128,0.01188,0.01245
18,0.009999,0.01063,0.01124,0.01182,0.01237
19,0.009999,0.0106,0.01119,0.01174,0.01227
20,0.009999,0.01058,0.01115,0.01168,0.01218
21,0.009999,0.01055,0.01109,0.0116,0.01207
22,0.009999,0.01053,0.01104,0.01152,0.01197
23,0.009999,0.0105,0.01099,0.01144,0.01186
24,0.009999,0.01047,0.01094,0.01136,0.01176
25,0.009999,0.01045,0.01089,0.01129,0.01166
26,0.009999,0.01043,0.01085,0.01123,0.01159
27,0.009999,0.01042,0.01081,0.01117,0.0115
28,0.009999,0.01039,0.01077,0.01111,0.01142
29,0.009999,0.01037,0.01072,0.01104,0.01133
30,0.009999,0.01035,0.01068,0.01098,0.01124
31,0.009999,0.01032,0.01063,0.01091,0.01115
32,0.009999,0.0103,0.01058,0.01084,0.01106
33,0.009999,0.01028,0.01054,0.01078,0.01098
34,0.009999,0.01026,0.01051,0.01073,0.01092
35,0.009999,0.01024,0.01047,0.01068,0.01086
36,0.009999,0.01022,0.01042,0.01061,0.01076
37,0.009999,0.0102,0.01039,0.01056,0.01069
38,0.009999,0.01018,0.01035,0.0105,0.01062
39,0.009999,0.01016,0.01031,0.01044,0.01054
40,0.009999,0.01014,0.01026,0.01037,0.01044
41,0.009999,0.01012,0.01023,0.01032,0.01038
42,0.009999,0.0101,0.01019,0.01026,0.0103
43,0.009999,0.01009,0.01016,0.01021,0.01023
44,0.009999,0.01007,0.01012,0.01015,0.01015
45,0.009999,0.01007,0.01011,0.01013,0.01013
46,0.009999,0.01005,0.01008,0.01009,0.01007
47,0.009999,0.01004,0.01005,0.01004,0.01001
48,0.009999,0.01003,0.01003,0.01,0.009956
49,0.009999,0.01001,0.009996,0.009961,0.009905
50,0.009999,0.01001,0.009985,0.009941,0.009882
51,0.009999,0.009992,0.009948,0.00989,0.009814
52,0.009999,0.009973,0.009916,0.009841,0.009752
53,0.009999,0.009964,0.009896,0.00981,0.009709
54,0.009999,0.009952,0.009866,0.009764,0.00965
55,0.009999,0.00993,0.009829,0.009707,0.009575
56,0.01,0.009919,0.009802,0.009665,0.009521
57,0.009999,0.009897,0.009765,0.009614,0.00946
58,0.009999,0.009889,0.009744,0.009579,0.00941
59,0.009999,0.009869,0.009707,0.009526,0.00934
60,0.009999,0.009854,0.009675,0.009479,0.009275
61,0.009999,0.00984,0.009648,0.009441,0.009228
62,0.009999,0.009815,0.009606,0.009383,0.009159
63,0.009999,0.009803,0.009574,0.00933,0.00909
64,0.009999,0.009784,0.009542,0.009288,0.00904
65,0.009999,0.009767,0.009509,0.009245,0.008986
66,0.009999,0.009749,0.009475,0.009199,0.008929
67,0.009999,0.009729,0.009436,0.009145,0.008861
68,0.009999,0.009716,0.009412,0.009113,0.008819
69,0.009999,0.009698,0.009371,0.00905,0.008737
70,0.009999,0.00969,0.009361,0.009035,0.008715
71,0.009999,0.009674,0.009335,0.009,0.008677
72,0.009999,0.009653,0.009298,0.008948,0.008614
73,0.009999,0.009637,0.00927,0.008908,0.008565
74,0.009999,0.00962,0.009238,0.008866,0.008515
75,0.009999,0.009606,0.00921,0.008822,0.008457
76,0.009999,0.009592,0.009183,0.008783,0.008409
77,0.01,0.009579,0.009151,0.008732,0.00834
78,0.01,0.009561,0.009121,0.008689,0.008291
79,0.01,0.009541,0.009083,0.008633,0.008218
80,0.009999,0.009509,0.009025,0.008557,0.008123
81,0.009999,0.00949,0.008993,0.008513,0.008066
82,0.009999,0.009465,0.008951,0.008458,0.007996
83,0.009999,0.009426,0.00889,0.008378,0.007902
84,0.009999,0.009411,0.008858,0.008334,0.007849
85,0.009999,0.009375,0.008799,0.008258,0.007757
86,0.009999,0.009343,0.008738,0.008175,0.007657
87,0.009999,0.00934,0.008717,0.008141,0.007611
88,0.009999,0.009305,0.008665,0.008073,0.007535
89,0.009999,0.00929,0.00863,0.008023,0.007468
90,0.009999,0.009271,0.008597,0.007976,0.007404
91,0.009999,0.009243,0.00854,0.007897,0.007302
92,0.009999,0.009219,0.008482,0.00782,0.007209
93,0.009999,0.009192,0.00843,0.007745,0.007116
94,0.01,0.00916,0.008369,0.007659,0.007013
95,0.009999,0.009103,0.008286,0.007554,0.006886
96,0.009999,0.009032,0.00816,0.007389,0.006666
97,0.01,0.009005,0.008083,0.00726,0.006489
98,0.01,0.008954,0.007976,0.007109,0.006318
99,0.01,0.008805,0.007635,0.006627,0.005751
100,0.01008,0.008595,0.007272,0.006177,0.005197
