Trading period,\( \lambda = 0.0 \),\( \lambda = 0.25 \),\( \lambda = 0.5 \),\( \lambda = 0.75 \),\( \lambda = 1.0 \)
1,0.009999,0.01094,0.01191,0.01287,0.01384
2,0.009999,0.01091,0.01184,0.01277,0.01371
3,0.009999,0.01088,0.01178,0.01269,0.01359
4,0.009999,0.01084,0.01172,0.01258,0.01345
5,0.009999,0.01082,0.01167,0.0125,0.01334
6,0.009999,0.01079,0.0116,0.01241,0.01321
7,0.009999,0.01077,0.01155,0.01232,0.01309
8,0.009999,0.01074,0.01149,0.01223,0.01297
9,0.009999,0.01071,0.01144,0.01215,0.01286
10,0.01,0.01068,0.01137,0.01205,0.01273
11,0.01,0.01067,0.01134,0.012,0.01265
12,0.01,0.01064,0.01128,0.01191,0.01253
13,0.01,0.01061,0.01123,0.01183,0.01243
14,0.01,0.0106,0.01118,0.01176,0.01234
15,0.01,0.01057,0.01113,0.01168,0.01223
16,0.01,0.01054,0.01108,0.01161,0.01213
17,0.01,0.01053,0.01104,0.01155,0.01205
18,0.01,0.0105,0.011,0.01148,0.01196
19,0.01,0.01048,0.01095,0.01141,0.01186
20,0.01,0.01046,0.01091,0.01135,0.01178
21,0.01,0.01044,0.01086,0.01127,0.01168
22,0.01,0.01041,0.01081,0.01119,0.01158
23,0.01,0.01039,0.01077,0.01114,0.0115
24,0.01,0.01036,0.01072,0.01106,0.0114
25,0.01,0.01035,0.01068,0.01101,0.01133
26,0.01,0.01033,0.01064,0.01095,0.01124
27,0.01,0.0103,0.01059,0.01087,0.01115
28,0.01,0.01029,0.01055,0.01081,0.01107
29,0.01,0.01026,0.01051,0.01074,0.01098
30,0.01,0.01024,0.01047,0.01069,0.0109
31,0.01,0.01023,0.01044,0.01064,0.01083
32,0.01,0.0102,0.01039,0.01057,0.01074
33,0.01,0.01017,0.01034,0.0105,0.01064
34,0.01,0.01016,0.0103,0.01045,0.01058
35,0.01,0.01014,0.01027,0.0104,0.01052
36,0.01,0.01013,0.01024,0.01036,0.01046
37,0.01,0.01011,0.01021,0.01031,0.0104
38,0.01,0.01008,0.01017,0.01024,0.0103
39,0.01,0.01006,0.01012,0.01018,0.01023
40,0.01,0.01004,0.01009,0.01012,0.01015
41,0.01,0.01003,0.01005,0.01007,0.01009
42,0.01,0.01001,0.01001,0.01001,0.01001
43,0.01,0.009986,0.009973,0.009955,0.009937
44,0.01,0.00998,0.009954,0.009923,0.009891
45,0.01,0.009966,0.009924,0.009876,0.009827
46,0.01,0.009953,0.0099,0.009842,0.009784
47,0.01,0.009937,0.00987,0.009798,0.009725
48,0.01,0.009921,0.009837,0.00975,0.009662
49,0.01,0.009903,0.00981,0.009713,0.009616
50,0.01,0.009895,0.00979,0.009683,0.009575
51,0.01,0.009885,0.009768,0.00965,0.009532
52,0.01,0.009865,0.009731,0.009598,0.009465
53,0.01,0.009858,0.009714,0.009568,0.009425
54,0.01,0.009849,0.009693,0.009535,0.00938
55,0.01,0.009838,0.009668,0.009499,0.009332
56,0.01,0.009833,0.009653,0.009475,0.009298
57,0.01,0.00982,0.009629,0.009439,0.009251
58,0.01,0.009806,0.009599,0.009395,0.009193
59,0.01,0.009791,0.009571,0.009354,0.009142
60,0.01,0.009782,0.00955,0.00932,0.009095
61,0.01,0.009771,0.009527,0.009284,0.009047
62,0.01,0.009755,0.009501,0.009246,0.008997
63,0.01,0.009755,0.009493,0.00923,0.008974
64,0.01,0.009742,0.009463,0.009183,0.008911
65,0.01,0.009717,0.009422,0.009125,0.008833
66,0.01,0.009704,0.0094,0.009096,0.008793
67,0.01,0.009694,0.00938,0.009066,0.008755
68,0.01,0.009684,0.009361,0.009036,0.008716
69,0.01,0.009671,0.009336,0.009001,0.008672
70,0.01,0.009661,0.009319,0.008978,0.008642
71,0.01,0.009655,0.009304,0.008954,0.008611
72,0.01,0.009641,0.009282,0.008927,0.008578
73,0.01,0.009625,0.009254,0.008889,0.00853
74,0.01,0.009607,0.009227,0.008857,0.00849
75,0.01,0.009602,0.009216,0.008839,0.008468
76,0.01,0.009604,0.009212,0.00883,0.00845
77,0.01,0.009598,0.009193,0.008797,0.008407
78,0.01,0.00959,0.009176,0.008773,0.008375
79,0.01,0.009582,0.009164,0.008757,0.008354
80,0.01,0.009567,0.009141,0.008728,0.00832
81,0.01,0.00956,0.009129,0.008709,0.008296
82,0.01,0.009556,0.009123,0.008702,0.008287
83,0.01,0.009546,0.009108,0.008683,0.008261
84,0.01,0.00954,0.009094,0.008662,0.008233
85,0.01,0.009531,0.009085,0.008653,0.008223
86,0.01,0.009528,0.009076,0.008638,0.0082
87,0.01,0.009534,0.009082,0.008645,0.008208
88,0.01,0.009527,0.009073,0.008634,0.008194
89,0.01,0.009525,0.009067,0.008626,0.008186
90,0.01,0.009523,0.009064,0.008622,0.008177
91,0.01,0.009518,0.009053,0.008603,0.008151
92,0.01,0.009522,0.009056,0.008607,0.008154
93,0.01,0.00952,0.009051,0.0086,0.008146
94,0.01,0.009516,0.009042,0.008588,0.008131
95,0.01,0.009507,0.009031,0.008571,0.008113
96,0.01,0.009501,0.00902,0.008554,0.008091
97,0.01,0.009505,0.009024,0.008558,0.008094
98,0.01,0.009507,0.009025,0.008557,0.008094
99,0.01,0.00951,0.009026,0.008556,0.008092
100,0.01001,0.009518,0.009029,0.008555,0.008088
