Trading period,\( \lambda = 0.0 \),\( \lambda = 0.25 \),\( \lambda = 0.5 \),\( \lambda = 0.75 \),\( \lambda = 1.0 \)
1,0.2,0.4384,0.645,0.8095,0.9431
2,0.1999,0.2504,0.2282,0.1537,0.05348
3,0.2001,0.148,0.08241,0.02989,0.003254
4,0.1998,0.09288,0.03028,0.005567,0.0001588
5,0.2002,0.07027,0.01417,0.00136,3.011e-5
